Freifunk_Frank NieÃƒÂŸ Ihr Optiker|6ed0695858c8
Freifunk_Freifunk-NDKR-tdf|66a07f79e61c
Freifunk_Moorhund|beb57c220140
Freifunk_tdf18a6f7c5d5ee|fa34e8e60108
Freifunk_in-lohmar.de-1|ce634bbfa2d0
Freifunk_ff-ak-isenhardt-hamm-01|4a15fb4af580
Freifunk_su-lc-Albertstr-2|8a3a891a1740
Freifunk_Larstr_RiFu01_Ersatz|5aace109e3b0
Freifunk_su-rhb-skl05|96ed97f46278
Freifunk_Dietrich-Bonhoeffer-Haus-3|e25e040c37c8
Freifunk_Meindorfer_Strasse|dee55f19d508
Freifunk_FF-BRA-Zahnrad-02|46c6f2a60548
Freifunk_su-rhb-polligstr-07-dg|ea92d86f52b0
Freifunk_su-mck-yonelli02|d20945cfe9a8
Freifunk_VIA_VENETO_01|ca9b4dcbf268
Freifunk_FF-STO-UCS-03|3ec924403700
Freifunk_Lasertag-Arena|660f782647b8
Freifunk_SoHo-Muehlenstr7|0681977b3b88
Freifunk_Der-Waescheladen-2|fe66b1152720
Freifunk_Altenrather-Str-Lohmar2|1278043f99a0
Freifunk_MiNaPi|42e429408460
Freifunk_su-mck-tapella-hoergeraete|4a227ae6df40
Freifunk_KÃƒÂ¶lnstr. 129|e2c39e27c1c8
Freifunk_KIND-Reisen|c6380f938538
Freifunk_NDK_29|1ed360e4af00
Freifunk_su-rhb-offenbach-11|6e77b7bfb720
Freifunk_wlan16|eefd819c1d40
Freifunk_LaCita|8efe30e85db8
Freifunk_FF-SU-Europaplatz-001|c6493acc6918
Freifunk_Zur-Alten-Faehre 01|7a195e405c60
Freifunk_Lenzen|6e3fa1eff848
Freifunk_Larstr_02|b2cc056113a8
Freifunk_su-rhb-schornbusch-1b|42467bba5958
Freifunk_Dammweg-Lohmar1|ee9964034958
Freifunk_su-rhb-kultur-im-hof|c6a377f69ed0
Freifunk_su-rhb-latz-6|3a6df2d2ee58
Freifunk_Im_Laach_03|c67136c31328
Freifunk_su-mck-cafe-reichwein01|86d4f7cccce0
Freifunk_La-Casa-Loca|eaf3d6853b80
Freifunk_Rathaus-Lohmar3|8a2c7b4a6898
Freifunk_su-mck-roma-fliesen|3213d0d98bc0
Freifunk_in-lohmar.de-2|16806cb5af28
Freifunk_su-rhb-zingsheim-31|b66b60e34a1c
Freifunk_Bauhof-Lohmar|b2acdaef03d8
Freifunk_su-rhb-vpk-003|e22ece1bf430
Freifunk_saa021b7baed28|0eb2fadba440
Freifunk_saa021b7baed28|0eb2fadba444
Freifunk_Ihr Friseur Rudolf Kappel|1a8c71389160
Freifunk_tdfe894f667bffa|7eb72306b648
Freifunk_tdfe894f667bffa|7eb72306b64c
Freifunk_prometheus|9651501959d8
Freifunk_su-mck-christophorus-apotheke01|2691c13f1868
Freifunk_Laarstr_II.3|368533e3fc38
Freifunk_kurm_de_01|5adb5ba85be0
Freifunk_kurm_de_01|5adb5ba85be4
Freifunk_FF-STO-UCS-01|5a3cb0d73390
Freifunk_su60e32724610a|56907e2ca348
Freifunk_Kreuzkirche|0ec70b7bc108
Freifunk_FF-STO-UCS-05|128ebf024530
Freifunk_Mercurio|7a758a05fbb0
Freifunk_FF-ZIV-002|5e5a092e00e0
Freifunk_su-mck-christophorus-apotheke02|3ef0873f9bd0
Freifunk_su-rhb-skl09|5631759b0400
Freifunk_ff-ak-s-andreas-02|e2fa2fcc3ef0
Freifunk_FreifunkHeppenberg2|46484ae47408
Freifunk_EvangelischeStadtkirche-Turm|467355404900
Freifunk_su-rhb-glasmuseum|ee990ccc6a20
Freifunk_Feuerwehr-Lohmar|4a54865da4d0
Freifunk_su-rhb-endlos-01|22c6940132b0
Freifunk_tdf8416f99bc02e|7676b5241e20
Freifunk_HeHau_105|fe23e7a6d148
Freifunk_Villa-Friedlinde-Lohmar_01|62ce83913b78
Freifunk_su-rhb-ahornweg-5-01|76eeda503260
Freifunk_FF-SU-18a6f7d986d8|fe5fa8f337e0
Freifunk_Stadthaus-Lohmar4|3adc63d79758
Freifunk_Klaus_Mobil|3ab7d5298198
Freifunk_Zur Alten Faehre|ce7bc42198c0
Freifunk_Outpost Wahnheide|062ff3b39100
Freifunk_su-rhb-ev-kirche-02|0ae7ab6f0170
Freifunk_su-mck-schumoden-velten02|d2225136b2e8
Freifunk_su-rhb-haus-rheinbach-02|f69ffd6733b8
Freifunk_Kurm_mobil|62f4ec3798a0
Freifunk_Bistro Hangelar|a67341d70a90
Freifunk_Ortho-Praxis-02|4221acdce8d8
Freifunk_RHStr_02AP|2ef16bfd6488
Freifunk_Kemonet-Montage|ca623d7bbe60
Freifunk_Evangelisch-Jugend|6673eab065b0
Freifunk_Rathaus-Lohmar1|0a30751fbaf8
Freifunk_UseMoreBandwidth|f6a32a308668
Freifunk_Dolomiti-Backstage|9e1066a0eda0
Freifunk_Dolomiti-Backstage|9e1066a0eda4
Freifunk_FreifunkDonrath1|8a9363cf8b60
Freifunk_su-rhb-schornbusch-3a|022c9f1064b0
Freifunk_su-rhb-skl03|b65281bc5d00
Freifunk_Neuhonrath_Nussbaumweg|3ad9891f2718
Freifunk_Wiesengrund_001|9e628704c800
Freifunk_FF-STO-UCS-02|e66550cc16e8
Freifunk_FreifunkBirk2|362ef0d2ca10
Freifunk_Bergischer_Ring|a62f49412e10
Freifunk_Golden_Duck_Lohmar_01|22e88e6bcc18
Freifunk_BÃƒÂ¤cker Eich|de92952acf38
Freifunk_FF_Wolsdorf01a|0aef7cbfb218
Freifunk_FF-SU_Dohkaule-1|3673b5008ec8
Freifunk_FF-BRA-Zahnrad-01|3afe7ead9850
Freifunk_su-rhb-Reisemarkt|f236334eb830
Freifunk_Mannella-Immobilienservice|7a30b2edc8d8
Freifunk_Martin-Luther-Kirche-1|02cd6a688a38
Freifunk_EvangelischTroisdorf-Gemeindehaus|1a167cc4e0c8
Freifunk_Larstr_II|56a1e8e4dc18
Freifunk_carpe_diem|c63364bb8ee0
Freifunk_su-rhb-holunderweg-1a|a225c16ea638
Freifunk_Eiscafe-Lohmar|02c04061ed20
Freifunk_Pizzeria Calimo 2|7e55a3c2b810
Freifunk_www-meistershop-de|02ae45cfd1a0
Freifunk_Gedenkstaette_Landjuden_an_der_Sieg|e28cd1951840
Freifunk_freifunk-windhagen5|2aeb4b7c3ba8
Freifunk_su-rhb-schornbusch-2b|4a5a14e9b4e0
Freifunk_Ortho-Praxis-01|d27f48f89080
Freifunk_Fahrschule Krahforst|96c329d94050
Freifunk_Islamische-Union-Troisdorf|aee5b65dbe88
Freifunk_Langenberg1|b2b3540d8dd0
Freifunk_kurm_de_02|1ab3aa5c9520
Freifunk_FF-SU_Murkel_II|9238e73b7338
Freifunk_su-rhb-PflegeteamWentland-LHWG|6eb97ced6ed0
Freifunk_SagaTroisdorf2|2203115a65c0
Freifunk_nikos_FF|065793920978
Freifunk_0Delta_1|868d1836ead0
Freifunk_ne60e327c4ba2e|da73bbc7b030
Freifunk_FreifunkScheiderhoehe1|3a9220c94570
Freifunk_IGK_RF_02|7e4075e4eab8
Freifunk_ff-ak-jh-bitzen-01|8a9eed78aa98
Freifunk_HÃƒÂ¶rakustik Hangelar|86644e101bf8
Freifunk_SKM Obdach Godesbergerstrasse 3-02|b2fa12aae760
Freifunk_freifunk-windhagen12|c695dcad66d0
Freifunk_Im_Laach|5a579e4296b0
Freifunk_su-rhb-schubertstr-13-01|528798aa5f08
Freifunk_Wiesengrund_002|dab57c5c8f48
Freifunk_SagaTroisdorf1|e232b66e9780
Freifunk_FreifunkEisenmarkt-Lohmar|36f0c5271460
Freifunk_Anziehend|1e0061f45208
Freifunk_KreishausKantine02|caad00c97dc0
Freifunk_tdf-30b5c26e90b7|92cd74716c78
Freifunk_tdf-30b5c26e90b7|92cd74716c7c
Freifunk_Altes-Rathaus1|d6173af960d0
Freifunk_Lotto-Kreuzer|f68856420b08
Freifunk_IGK_Schulungsraum|22f9f255df88
Freifunk_IGK_Schulungsraum|22f9f255df8c
Freifunk_Kita-Heidepaenz|f25228d03d20
Freifunk_FreifunkKappes1|5add4d1c58c8
Freifunk_Klaus_940N|76c0905b0568
Freifunk_Elements-of-Taste-1|1ab205a6c368
Freifunk_Zum_alten_Wilhelm_FF|3e652d9dd3f0
Freifunk_Kronen-Apotheke|26c4eeb56630
Freifunk_NDK_31|fed1f58229b0
Freifunk_su-rhb-PflegeteamWentland-LBWG1|7eeee4102730
Freifunk_su-rhb-PflegeteamWentland-LHWG2|92732a8e6660
Freifunk_Lorin_2|9e545f9c8d10
Freifunk_Lorin_2|9e545f9c8d14
Freifunk_Protheofit|e2ee0a299cd8
Freifunk_su-mck-cafe-landlust|52dd332c14a0
Freifunk_su-mck-stjohannes-pastoralbuero|c2b79bd2c098
Freifunk_FF_Wolsdorf01b|1e05874a2f28
Freifunk_su-Albert10-OmaEvi|8ea464b5d668
Freifunk_FreifunkHeide1|56317fa524d8
Freifunk_KA_02AP|2258c021d0a0
Freifunk_su-mck-stjohannes-buecherei|ce53cae19fd8
Freifunk_SKM Obdach Godesbergerstrasse 3-01|ce9cda6f3cf0
Freifunk_Friedenskirche-3|3ed0dfda8da8
Freifunk_su-rhb-optik-firmenich-02|f29bcd88ecb0
Freifunk_su-rhb-todenfelder-1-suedost|4e94253de928
Freifunk_su-rhb-schornbusch-0a|26fe232acf28
Freifunk_Stadthaus-Lohmar9|deeb69c504d0
Freifunk_Cafe-Broehl-2|fa6a659ef908
Freifunk_ff-ak-s-andreas-01|22ca88529ee8
Freifunk_SKM ResoDonBoscoHaus 01|be5222a13088
Freifunk_KA_01AP|168f63b66298
Freifunk_BSG75-Freifunk|e6628806b8c8
Freifunk_su-rhb-heimerzheim-01|c69137ec3ff0
Freifunk_su-rhb-himmeroder-10-01|0e1e6005ab30
Freifunk_su-rhb-himmeroder-10-01|0e1e6005ab34
Freifunk_DEUPA01|a2c29670c8c0
Freifunk_FF-Si-Hampe-WeidenauBahnhof|9a425ebb9398
Freifunk_su-mck-ihr-platz02|9e37a2432770
Freifunk_tara-tierhilfe_01|ea6032bd3a90
Freifunk_Biene|96914e912b08
Freifunk_FreifunkWahlscheid2|9ac4cef320f0
Freifunk_su-rhb-schornbusch-1e|3e84c1ca12b0
Freifunk_kurm_de_04|fe47d5cbdd70
Freifunk_su-mck-yonelli01|2658d0374fc8
Freifunk_tdf30b5c222f3e6|6a6b9ae659c8
Freifunk_su-rhb-engler|d69c616f7890
Freifunk_Rhb_Aussenposten2|2afca71b6b58
Freifunk_ff-ak-milchbude-02|22780e95b468
Freifunk_Grote_03|82f315b25140
Freifunk_FreifunkHeide2|4ae70f4c8b00
Freifunk_Meindorfer_Strasse_2|c688ed5b1ee8
Freifunk_KreishausKantine01|465658912690
Freifunk_Freifunk_02|be6272228a24
Freifunk_Freifunk_02|be6272228a20
Freifunk_Cafe-Broehl-3|462552ac56a8
Freifunk_SKM Obdach Wilhelmstrasse 158-02|b2855a9079d0
Freifunk_su-mck-stjohannes-jugendheim|4640b5cb4720
Freifunk_Europaplatz2|4e6b20f2df00
Freifunk_Altenrather-Str-Lohmar1|e67ae0f4be18
Freifunk_tdfe8de27b7605a|ae05f9b80b60
Freifunk_Schornsteinfeger|0eaf73f1d6e8
Freifunk_su-rhb-juze-01|62782d045e70
Freifunk_su-rhb-foto-eich|aa2b69d98ce8
Freifunk_su-rhb-PflegeteamWendtland-LHWG3|5e01f1811df0
Freifunk_SKM Tafel-Lohmar 01|3a4c289df7c8
Freifunk_FF-SU-Augustastr-1|663e04ffa230
Freifunk_FF_FTH_EV24_Sankt-Augustin|1e8b383e2290
Freifunk_su-rhb-heeg-23|564873babf98
Freifunk_su-rhb-ohg-hardthoehe|be17ed567e50
Freifunk_su-rhb-ImkereiMarkusNolden|aabae7c02f30
Freifunk_su-rhb-vpk-002|f25940819d78
Freifunk_Wahlscheid-Forum|beb5832da6c8
Freifunk_Stadthaus-Lohmar2|96e8225c2180
Freifunk_Saturn|c6da419174f8
Freifunk_FF-STO-UCS-04|6622462199e8
Freifunk_su-mck-st-jakobus|c2662f4edf08
Freifunk_tdf8416f9e8b938|9ed16ab742f0
Freifunk_su-rhb-rotterpfad-12|a2d42193b388
Freifunk_Wald-Hotel-Trdf02|9e80bf61ade8
Freifunk_Wald-Hotel-Trdf02|9e80bf61adec
Freifunk_su-rhb-schmuckstueck-1|02caf376d318
Freifunk_su-lc-Kaiserstr-124-Calito|0ee927595520
Freifunk_su-rhb-wormersdorf-03|dab60e24eee8
Freifunk_Weinschmiede|8637a906d608
Freifunk_NDK_33|8ad612fc80d0
Freifunk_Rappelkiste-1|4233de697de8
Freifunk_Stadthaus-Lohmar8|5e4059d22998
Freifunk_su-mck-gtue01|8e583dac73d8
Freifunk_Marienstrasse|26669c2a8130
Freifunk_ff-ak-tus-bitzen-bude-01|224c2bde3a20
Freifunk_Stadthaus-Lohmar1|aa104275ca80
Freifunk_su-rhb-buchhandlung-kayser-01|9a47d7656168
Freifunk_MGH_FF_03|e6893abb1d58
Freifunk_Stadtschreiber|46cd93eec798
Freifunk_Stadtschreiber|46cd93eec79c
Freifunk_su-rhb-schornbusch-2a|f652b87bf258
Freifunk_SÃƒÂ¼dafrika Hautnah|b2ac0001c0c0
Freifunk_su-rhb-tapella-augenoptik-im-aerztehaus|ee982ec86300
Freifunk_Bistro-Paradise|9ee7fe88fa88
Freifunk_ff-ak-bergtreff-01|9ab41245fe08
Freifunk_Leyendeckers-Herrenmoden|068c5a0a5898
Freifunk_su-rhb-todenfelder-1-gateway|fea6187c9c78
Freifunk_su-mck-niedertorkreisel-1|222eac0b7028
Freifunk_su-mck-niedertorkreisel-1|222eac0b702c
Freifunk_Ikarus Grill|06f30acfc8f8
Freifunk_Paul-Gerhardt-Haus-1|d6e7468c1058
Freifunk_Larstr_II.2|ea9239e99f28
Freifunk_Der-Waescheladen-1|b6d236dd69d0
Freifunk_Bluemschen2,4 2|66c71bb60660
Freifunk_SKM Tafel-Lohmar 03|023eba84db80
Freifunk_Backwerk-1|66d481f00550
Freifunk_FreifunkEllhausen1b|4a897abae2f8
Freifunk_su-rhb-server-1|7aafffd9b038
Freifunk_Fronhof_uplink|7efcdcfbbf70
Freifunk_SU-StA-WDR3600v1|de7abfd80b14
Freifunk_SU-StA-WDR3600v1|de7abfd80b10
Freifunk_Penthouse|86de9b9b4008
Freifunk_su-rhb-mittelerde-02|2ae230b8ab58
Freifunk_Goossens-2|f61af01eed78
Freifunk_windhagen6|5280f4df58b8
Freifunk_magda_5|2ad5e66bcab8
Freifunk_magda_5|2ad5e66bcabc
Freifunk_AltruistFilms|ca4c1a417600
Freifunk_AltruistFilms|ca4c1a417604
Freifunk_NDK_Strasse|7e86bd4d1f50
Freifunk_tdfe8de27f71aa4|daf9fbdb1ee8
Freifunk_Dietrich-Bonhoeffer-Haus-2|16f2c393a950
Freifunk_FF-STO-Semeritsch-h|d65a3c3fe978
Freifunk_Ev_Kirche_Jugend_01|06de00d14f48
Freifunk_su-rhb-ev-kirche-03|aaae90c24f58
Freifunk_Langenberg3|329fadfe26b8
Freifunk_su-mck-1|020ac88ac0c0
Freifunk_su-mck-1|020ac88ac0c4
Freifunk_su-mck-faesschen01|b61c416b07e0
Freifunk_FF-MO-Azaleenweg|5a2b3b20be58
Freifunk_Westerwelle_FF|1ef0ffec4800
Freifunk_su-mck-ihr-platz01|12dd63d71a78
Freifunk_Isola Verde Feinkost|160a50fbb110
Freifunk_Judda-OD|9e9302b8ff68
Freifunk_su-rhb-kannenbaecker-8|daaf4fa199d8
Freifunk_Lifesuche|fee93c96d4c8
Freifunk_Chinahaus-Lohmar3|d2c03235d270
Freifunk_KreishausFoyer02|d654142b2360
Freifunk_FreifunkScheiderhoehe3|66ee04628008
Freifunk_AWO-Oberlar|6ac3083c5348
Freifunk_krausacker_02|267a9a533878
Freifunk_saf4f26d85aaca|06fe2d4065e0
Freifunk_SagaTroisdorf3|52ddf70b5770
Freifunk_su-rhb-schweigel-12|626c878510a8
Freifunk_ff-ak-alt-hamm-01|068ad3e8b9d8
Freifunk_IG-Wilhelmshavenerstrasse-Koeln-01|46d21a06ccd8
Freifunk_su-rhb-PflegeteamWentland-LBTP|b268c8ea21d8
Freifunk_Thueringer_Kaiserstube|ba5fa16d42f0
Freifunk_SKM Wohnungslosenhilfe 01|c21d9bfa5ae0
Freifunk_KreishausFoyer01|1a030e662930
Freifunk_Stadthaus-Lohmar10|765018c84188
Freifunk_BStr_62|a28a486755d0
Freifunk_su-mck-02|92080d3713e0
Freifunk_su-mck-02|92080d3713e4
Freifunk_saa42bb0a230aa|9e29d568e778
Freifunk_su-mck-poeppelheld|1af5389a0df8
Freifunk_su-mck-schumoden-velten01|1a6c44cfd108
Freifunk_su-mck-1bis3de|92287c1f6da8
Freifunk_su-lc-AlbertstraÃƒÂŸe-3|d68f2319ced0
Freifunk_Meigermuehle|6e5d13be8b98
Freifunk_IGK_RF_01|e62e46ea1220
Freifunk_su-rhe-PflegeteamWentland-APTP|fe5162c20530
Freifunk_Ritter-Schuhe|427071d93760
Freifunk_Fit'n Move|b2b35a1cf2e0
Freifunk_SU-StA-WR842NDv1|36f2552db548
Freifunk_Kreissparkasse-Koeln-2|12b01e3c8138
Freifunk_MGH_HS-INT|fe3eee2efb20
Freifunk_ff-ak-buchen-01|a6d2fc393678
Freifunk_Arena-Vertikal|027f3ac50d68
Freifunk_FreifunkHeppenberg1|5a0f66651198
Freifunk_su-rhb-skl14|3ab7f5da26f8
Freifunk_Chinahaus-Lohmar1|7ead36809710
Freifunk_su-rhb-schornbusch-2c|ee78787feb58
Freifunk_Fit'n Move 2|3eb3e037cb08
Freifunk_tara-tierhilfe 02|ee556e0ba4a0
Freifunk_Feuerwehr-Scheiderhoehe|be3f71a4c198
Freifunk_Fronhof3|66c54b41fcb0
Freifunk_su-rhb-PflegeteamWentland-IN1|ce171efc9b10
Freifunk_Kritis-Freifunk|9216bc883e70
Freifunk_su-mck-pepitas01|ba7f57e37458
Freifunk_ne0023cd20c526|26f9efc15660
Freifunk_Reinbold-2|0e98704facf4
Freifunk_Reinbold-2|0e98704facf0
Freifunk_Friedenskirche-2|aa90c4b53068
Freifunk_BerlinerForst02|3ac9b4b955b0
Freifunk_FF-STO-Heuwaegelchen|aa11c6967788
Freifunk_BuergerzentrumBirk2|b67de9862b68
Freifunk_su-rhb-moden-gelbe|f6a5b87b68e8
Freifunk_su-mck-gtue02|de1f7e396808
Freifunk_IG-Wilhelmshavenerstrasse-Koeln-02|5a59fbec7a68
Freifunk_Herrenfriseur-Polat|9e5704a1b4c0
Freifunk_Cafe-Broehl-1|861b361fc588
Freifunk_Dreibein|7acb8c0653f8
Freifunk_Dreibein|7acb8c0653fc
Freifunk_sua42bb0a22db2|32971bf68318
Freifunk_su-Breite18|fee36b36f370
Freifunk_Eiscafe_Riviera|f6bfc89198d8
Freifunk_Eiscafe_Riviera|f6bfc89198dc
Freifunk_Langenberg4|16d5a2ccdc58
Freifunk_bulaus_FF|5292ad9ecd08
Freifunk_Reka|322cd6d6d1b8
